id,name,name_local,country,region,municipality,population_current,population_scale,purpose,theme,start_year,end_year,status_current,actor_type,lead_actor,component_types,components,latest_source_year,elapsed_years,follow_up,follow_up_note,single_outlet,self_reported,source_count,source_urls,unknown_fields,image_url,image_credit,last_verified,url
ar-0001,経済破綻で職を失った人に空き地を貸し、農薬を使わない野菜を売る市まで用意した,Programa de Agricultura Urbana,アルゼンチン,サンタフェ州,ロサリオ市,1030069,25万超,商いを起こす,農林水産・食,2002,,継続中,混合,ロサリオ市。技術の起点は農業技師アントニオ・ラトゥーカと NGO の CEPAR（Centro de Estudios de Producciones Agroecológicas de Rosario）で、国の ProHuerta（INTA）が加わった,hybrid,空き地を耕す人に一時的に貸した｜農薬を使わない作り方を教えた｜売る市を街なかに常設した｜共同の畑から区画制に変えた｜市街の外周を条例で農地に留めた,2026,24,濃い,1987年に NGO の共同菜園から始まり、2001年の経済破綻を受けて2002年に市の制度になった。2021年6月に WRI の大賞（25万ドル）を受け、2023年4月には河岸段丘の500平方メートルで若者向けの講座が始まっている。,,,6,https://www.wri.org/insights/rosario-urban-farming-tackles-climate-change｜https://www.rosario3.com/informaciongeneral/Rosario-recibio-un-premio-internacional-por-sus-politicas-de-produccion-sustentable-de-alimentos-20210630-0007.html｜https://latinta.com.ar/2021/07/12/rosario-agricultura-urbana/｜https://www.infobae.com/america/soluciones/2022/11/16/el-programa-de-agricultura-urbana-de-rosario-produce-alimentos-agroecologicos-y-da-trabajo-a-360-personas/｜https://historiaregional.org/ojs/index.php/historiaregional/article/view/991｜https://rosalux-ba.org/2026/07/17/la-agricultura-urbana-de-rosario-apuesta-al-futuro/,funding_scale,https://rosalux-ba.org/wp-content/uploads/2026/07/foto-1-para-mandar.jpg,Fundación Rosa Luxemburgo,2026-08-19,https://yusu0326.github.io/terroir-site/p/ar-0001.html
at-0001,気候対策の事業を、区ごとに住民の陪審が選ぶ仕組みを作った,Wiener Klimateam,オーストリア,ウィーン,ウィーン,2040914,25万超,住民が決める,自然・緑地・水辺,2022,,継続中,行政,ウィーン市（Stadt Wien）,hybrid,区ごとに気候の案を住民から集める｜案を専門家との作業会で練り直す｜抽選で選ばれた住民の陪審が決める｜区民1人あたりの実施予算を割り当てる｜選ばれた案を市の部局が施工する,2026,4,濃い,2023年の論文は抄録で、ウィーンの参加型予算の現行の形態は、過程の正統性を高める一方で実施の実効性と弱い立場の人々の力づけには効きにくいかもしれないと論じている。2026年7月に4巡目が終わった。,,,8,https://www.meinbezirk.at/wien/c-politik/wiener-klimateam-auf-schiene_a5106709｜https://www.meinbezirk.at/wien/c-politik/margareten-simmering-und-ottakring-werden-klimafit_a5421238｜https://www.meinbezirk.at/ottakring/c-lokales/ottakringer-klima-ideen-stehen-vor-der-umsetzung_a5709811｜https://www.meinbezirk.at/wien/c-politik/19-klimafitte-projekte-fuer-margareten-ottakring-und-simmering_a5775346｜https://www.meinbezirk.at/wien/c-politik/drei-neue-bezirke-stossen-zum-wiener-klimateam-dazu_a5784652｜https://www.meinbezirk.at/ottakring/c-politik/diese-ottakringer-klima-ideen-werden-bis-2024-umgesetzt_a5901775｜https://www.meinbezirk.at/josefstadt/c-lokales/15-projekte-machen-die-josefstadt-und-penzing-lebenswerter_a8776227｜https://www.cogitatiopress.com/urbanplanning/article/view/6067,,https://media04.meinbezirk.at/article/2022/11/15/2/31718992_XXL.jpg,MeinBezirk,2026-08-19,https://yusu0326.github.io/terroir-site/p/at-0001.html
at-0002,街区に通り抜けの車を入れないようにし、舗装を剥がして緑と居場所に変えた,Supergrätzl,オーストリア,ウィーン,ウィーン（10区 Favoriten）,2040914,25万超,歩けるようにする,交通・道路・駅,2022,,継続中,行政,ウィーン市（Stadt Wien）と10区,hybrid,通り抜けの車を街区に入れない｜一方通行の向きを入れ替える｜交差点で車を幹線に戻す｜車道の舗装を剥がして木を植える｜学校の周りを歩行者専用にする,2026,4,濃い,2022年5月には最終段階までに90の駐車枠がなくなることに反発が出たと報じられ、区長は住んでいる人には十分な駐車の場所があると述べた。市の都市開発部門は2026年5月に開いたと書き、7月19日まで意見を集める調査を始めた。,,,6,https://www.meinbezirk.at/favoriten/c-lokales/mehr-gruen-weniger-verkehr-wien-plant-jetzt-erstes-supergraetzl_a4826068｜https://www.meinbezirk.at/favoriten/c-lokales/das-ist-der-fahrplan-fuer-die-umsetzung-des-supergraetzels_a5365705｜https://www.meinbezirk.at/favoriten/c-politik/das-supergraetzel-in-innerfavoriten-auf-dem-pruefstand_a5510281｜https://www.meinbezirk.at/favoriten/c-lokales/baubeginn-fuer-oesterreichs-erstes-supergraetzl_a6335369｜https://www.meinbezirk.at/favoriten/c-lokales/das-supergraetzl-im-zehnten-wird-zu-einem-vorzeigeprojekt_a6667461｜https://wienerbezirksblatt.at/evaluierung-supergraeztls/,,https://wienerbezirksblatt.at/wp-content/uploads/2026/06/10_Supergraetzl-1.jpg,Wiener Bezirksblatt,2026-08-19,https://yusu0326.github.io/terroir-site/p/at-0002.html
at-0003,駐車場と倉庫だった都心の一角を、住まいと公園のある街区に組み替える,NikolaiQuartier,オーストリア,ケルンテン州,フィラッハ,66051,5万〜25万,住む人を増やす・戻す,住まいと暮らし（住宅・医療・福祉・子育て）,2021,,継続中,混合,フィラッハ市と Vereinigte Kärntner Brauerei・KABEG・Schinagl & Partner,hard,駐車場と倉庫の跡地を組み替える｜住戸の半分を協同組合住宅にする｜囲われていた緑地を公園に開く｜住民に聞き取りと作業会を開く｜助成付き住戸と若者の居場所を入れる,2026,5,濃い,2021年1月の時点で市は日程を示せていなかった。2023年5月には市が6月5日に住民へ開かれた討議の場を設けると告知し、2026年8月には最初の建築段階を月内に市役所へ提出する予定で、着工は2027年になりうると報じられた。,true,,4,https://www.meinbezirk.at/villach/c-lokales/neues-stadtviertel-in-villach-geplant_a4455888｜https://www.meinbezirk.at/villach/c-lokales/stadt-villach-laedt-zur-diskussion-ueber-neues-stadtviertel_a6076671｜https://www.meinbezirk.at/villach/c-lokales/villach-gewinnt-impuls-award-fuer-geplantes-nikolaiquartier_a6914535｜https://www.meinbezirk.at/villach/c-lokales/drei-quartiere-die-die-stadt-veraendern_a8832550,,https://media04.meinbezirk.at/article/2023/05/31/4/34532694_XXL.jpg,MeinBezirk,2026-08-19,https://yusu0326.github.io/terroir-site/p/at-0003.html
at-0004,幹線道路の完成に北側の建設の順番を縛られながら、市と開発会社が街区を作り続けている,Seestadt Aspern,オーストリア,ウィーン,ウィーン（ドナウシュタット区）,2040914,25万超,住む人を増やす・戻す,住まいと暮らし（住宅・医療・福祉・子育て）,2008,,継続中,混合,ウィーン市と Wien 3420 aspern Development AG,hard,幹線道路と接続してから北を建てる｜街区の中に働く場を作る｜街区の緑化の取り組みを続ける,2026,18,濃い,MeinBezirk は2026年2月3日に、ORF の報道として、Seestadt と南東環状線をつなぐ3.3キロの Stadtstraße の工事が8割まで進み、2月2日に最後のトンネルの貫通に至ったと伝えている。同記事によれば、市は2026年末までの完成を目指しているが、通行の開放は2027年になる見込みだと関係機関の担当者が話している。,true,,4,https://www.meinbezirk.at/donaustadt/c-politik/notwendigkeit-der-begruenungsoffensive-stoesst-auf-kritik_a5888908｜https://www.meinbezirk.at/donaustadt/c-wirtschaft/seestadt-bauten-muessen-auf-fertige-stadtstrasse-warten_a7002554｜https://www.meinbezirk.at/donaustadt/c-lokales/in-der-seestadt-steckt-viel-geschichte_a6965684｜https://www.meinbezirk.at/donaustadt/c-lokales/letzter-tunneldurchstich-geschafft-baustelle-fast-fertig_a8025742,,https://media04.meinbezirk.at/article/2026/02/03/3/49289533_XXL.webp,MeinBezirk（ドナウシュタット版）,2026-08-19,https://yusu0326.github.io/terroir-site/p/at-0004.html
au-0001,空き地を探す地図と持ち運べる畑で、遊休都市用地を市民農園に変え続けるしくみをつくった,3000acres,オーストラリア,ビクトリア州,メルボルン（最初の畑はフィッツロイ。以後、複数の自治体にまたがって展開）,5350705,25万超,空間をひらく,農林水産・食,2014,,継続中,NPO,Kate Dundas ら（2013年の共同創業者。出典間で創業者の人数の記述が食い違う。discrepancies参照）,hybrid,空き地・遊休地の地図をつくった｜移動できる高床式の畑を設計した｜開発業者や鉄道会社と用地契約を仲介した｜リース・保険・許可のひな型を提供した｜遺産保護区でも畑を共同設計した,2019,5,薄い,2014年にフィッツロイの空き駐車場で始まり、2019年の記事では開発業者・自治体・VicTrackとの連携が伝えられている。,,,3,https://greeningthewest.org.au/2015/05/3000acres-growing-on-vacant-melbourne/｜https://assemblepapers.com.au/2016/11/25/keys-to-the-city-3000-acres/｜https://thefifthestate.com.au/environment/how-can-melbourne-house-7-million-people-without-destroying-its-foodbowl/,funding_scale,https://greeningthewest.org.au/wp-content/uploads/2015/05/3000acresjewellstation.jpg,Greening the West,2026-09-02,https://yusu0326.github.io/terroir-site/p/au-0001.html
bd-0001,増水すると浮き、水が引くと地面に降りる校舎を、竹と使い終えたドラム缶で建てた,Arcadia Education Project,バングラデシュ,ダッカ管区,ケラニガンジ・南カナルチョル,,不明,誇りをつくる,学校・公共施設,2012,,判定不能,NPO,Maleka Welfare Trust（設計は Saif Ul Haque Sthapati）,hard,増水すると浮く校舎を竹で組む｜使い終えたドラム缶を浮きにする｜敷地の土を盛らずに水を受け入れる｜地元の果実を煮た液で竹に防水を施す｜継ぎ手の多くを縄で結ぶ,2020,8,薄い,ボストン建築協会は2020年6月4日の頁で、この校舎が乾季には地面に載りモンスーンの期間は浮くこと、審査団の評が、海面の上がる時代に地元で手に入る材料で安く確かなものを建てられる例だとしていることを載せている。2020年より後に、この学校の現在を書いた出典は見つけられなかった。,,,5,https://www.metalocus.es/en/news/amphibious-modules-arcadia-education-project-saif-ul-haque｜https://www.prothomalo.com/bangladesh/%E0%A6%86%E0%A6%97%E0%A6%BE-%E0%A6%96%E0%A6%BE%E0%A6%A8-%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%93%E0%A7%9F%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A1-%E0%A6%AA%E0%A7%87%E0%A6%B2%E0%A7%87-%E2%80%98%E0%A6%86%E0%A6%B0%E0%A7%8D%E0%A6%95%E0%A7%87%E0%A6%A1%E0%A6%BF%E0%A7%9F%E0%A6%BE-%E0%A6%8F%E0%A6%A1%E0%A7%81%E0%A6%95%E0%A7%87%E0%A6%B6%E0%A6%A8｜https://www.thedailystar.net/city/bangladeshi-project-wins-aga-khan-award-for-architecture-2019-1792831｜https://www.thedailystar.net/country/news/think-about-reasons-while-going-change-bangladeshi-award-winning-architect-1799854｜https://www.architects.org/architecture-in-dialogue-the-digital-collection/arcadia-education-project,population_current｜population_scale｜status_current,https://www.metalocus.es/sites/default/files/styles/mopis_fullslider_desktop/public/lead-images/metalocus_aga-khan-14_01_2p.jpg?itok=JGLndF0U,METALOCUS,2026-08-20,https://yusu0326.github.io/terroir-site/p/bd-0001.html
bd-0002,獲れた魚を売った金の4割を漁民に、36%を村の組織に分け、その取り分で湿地を守った,Tanguar Haor,バングラデシュ,シレット管区,スナムガンジ県 タヒルプル郡・ダルマパシャ郡（タングアール・ハオル沿岸88村）,,不明,お金を地域で回す,自然・緑地・水辺,2006,,判定不能,行政,バングラデシュ環境森林省（Ministry of Environment and Forests）。ダウン・トゥ・アース（2018年3月27日）によれば、資金はスイス開発協力庁（SDC）、技術支援はIUCNバングラデシュ事務所が担った,hybrid,漁獲収入を漁民・村組織・政府で配分する｜村ごとの住民組織を協同組合に変える｜許可制で漁業権を住民に戻す｜村組織の取り分を地域の開発に使う｜村・ユニオン・ハオル圏の3層で代表を選挙で選ぶ,2024,18,濃い,2018年3月にダウン・トゥ・アースが仕組みの評価を伝え、2020〜2021年にはThe Daily Starで元関係者による検証が続き、2024年1月には同紙が資源の減少と私物化への批判を報じた。開始から3年以上あとの評価・検証記事が複数年にわたって続いている。,,,6,https://www.thedailystar.net/frontpage/rampant-felling-trees-threatens-tanguar-haor-1343464｜https://www.thedailystar.net/environment/bangladesh-tanguar-haor-accusations-fly-unique-biodiversity-comes-under-threat-1445431｜https://www.downtoearth.org.in/news/water/unique-programme-in-bangladesh-shows-the-way-to-wetland-management-60040｜https://www.thedailystar.net/weekend-read/news/tanguar-haor-paradise-lost-3517926｜https://www.thedailystar.net/opinion/environment/news/providing-permanent-support-the-people-tanguar-haor-1945997｜https://www.thedailystar.net/views/opinion/news/new-vision-possible-tanguar-haor-2126766,population_current｜population_scale,https://cf-images.assettype.com/down-to-earth%2Fimport%2Flibrary%2Flarge%2F2018-03-27%2F0.13227500_1522155339_life_on_the_flow_(3825779765).jpg?w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100,Down To Earth,2026-09-03,https://yusu0326.github.io/terroir-site/p/bd-0002.html
be-0001,車と商用車の代わりにカーゴバイクを使えるようにして、街の空気を変えようとした,Cairgo Bike,ベルギー,ブリュッセル首都圏,ブリュッセル,1255795,25万超,歩けるようにする,交通・道路・駅,2020,,判定不能,混合,Brussel Mobiliteit（ブリュッセル首都圏の交通部局）を調整役とする共同事業体,soft,事業者に購入の補助を出す｜半年の試用の期間を置く｜情報を一つのサイトにまとめる｜組織の導入に伴走する,2023,3,濃い,BRUZZ は2023年9月29日に、Brussel Mobiliteit が報道発表で事業を「本当の成功」と評したと伝えている。同じ報道発表によれば、補助の総額は2021年から2023年で95万ユーロ、うち40万ユーロが欧州の資金、残りの55万ユーロがブリュッセル首都圏の資金だった。,true,,4,https://www.bruzz.be/mobiliteit/brussels-project-rond-cargofiets-krijgt-europese-steun-2020-07-09｜https://www.bruzz.be/mobiliteit/brussels-gewest-wil-meer-bakfietsen-de-stad-2021-04-30｜https://www.bruzz.be/mobiliteit/brussel-gelooft-leveringen-met-de-fiets-milieuvriendelijker-en-sneller-2022-05-11｜https://www.bruzz.be/mobiliteit/brussel-mobiliteit-maakt-positieve-balans-op-na-drie-jaar-cairgo-bike-project-2023-09-29,end_year,https://wmimages.bruzz.be/styles/cb5048ca7f89e231c928e0a37d7e49dbae1ead4e/bulk_image_upload/1624435831/20210623_Een%20vrouw%20vervoert%20haar%20kinderen%20door%20Brussel%20met%20een%20bakfiets%20mobiliteit%20fietsbeleid%20fietsveiligheid_(c)_ProVelo.jpg?style=W3sicmVzaXplIjp7ImZpdCI6Imluc2lkZSIsIndpZHRoIjoxMjAwLCJoZWlnaHQiOjYzMCwid2l0aG91dEVubGFyZ2VtZW50Ijp0cnVlfX0seyJqcGVnIjp7InF1YWxpdHkiOjc1fX1d&sign=b4c2423df9a318a2c1b35ce613d9d178900c7f429874f4dd6ca60185e712fada,BRUZZ,2026-08-19,https://yusu0326.github.io/terroir-site/p/be-0001.html
be-0002,欧州文化首都の年に生まれた行進を、市内の団体と学校が作る形で2年に一度続けた,Zinneke Parade,ベルギー,ブリュッセル首都圏,ブリュッセル,1255795,25万超,誇りをつくる,文化・アート・祭り,2000,,継続中,NPO,vzw Zinneke と、市内の150を超える団体・学校・アーティスト・地区の組織,soft,2年に一度の行進をする｜加わる集団が設営物と振付を作る｜学校や地域の団体を巻き込む｜弱い立場の人との創作を軸に置く,2026,26,濃い,"BRUZZ は2026年5月30日に、ブリュッセル政府が urban.brussels を通じて36万ユーロを出すと決め、VGC の11万2,550ユーロと合わせて2026年の回を行えるようになったと伝えている。VRT は同じ日に、14回目には14の集団と約1,600人が参加したと書いている。",,,5,https://www.bruzz.be/culture/events-festivals/zinneke-parade-trekt-na-vier-jaar-opnieuw-door-brussel-2022-04-19｜https://www.vrt.be/vrtnws/nl/2022/05/14/bekijk-kleurrijke-zinnekeparade-trekt-door-de-straten-van-een/｜https://www.vrt.be/vrtnws/nl/2025/10/06/toekomst-van-zinneke-parade-onzeker-door-onduidelijkheid-werking/｜https://www.bruzz.be/actua/samenleving/brussels-gewest-steunt-zinneke-parade-na-lange-periode-van-onzekerheid-2026-05-30｜https://www.vrt.be/vrtnws/nl/2026/05/30/brussel-zinneke-parade-editie-14/,,https://images.vrt.be/vrtnws_share/2025/10/06/9447212e-9f87-4248-8477-e0c79510d5d7.jpg,VRT NWS,2026-08-19,https://yusu0326.github.io/terroir-site/p/be-0002.html
